dataset,algorithm,k,g,p,Run_Time,KG_Time,Main_Time,Ng_Time,N^g_Count,num_kg_node,num_kg_edge,num_remain_node,num_remain_edge
Aminer,ASAP,3,5,0.6,1071.8344,1045.4721,24.5367,6.8956,262004.0,211702.0,17120546.0,93432.0,259747.0
Aminer,ASAP,3,5,0.8,1054.6561,1031.5544,21.4273,3.2068,247954.0,211702.0,17120546.0,30564.0,57326.0
Aminer,ASAP,3,5,1.0,1028.3595,1007.8246,18.8823,0.9386,219750.0,211702.0,17120546.0,9125.0,18782.0
Aminer,ASAP,3,6,0.0,1036.7324,1031.915,3.1421,0.0,0.0,131804.0,17120546.0,131804.0,17120546.0
Aminer,ASAP,3,6,0.2,1059.9612,1046.9271,11.349,2.0027,27478.0,131804.0,17120546.0,130034.0,1414614.0
Aminer,ASAP,3,6,0.4,1046.0715,1027.2357,17.1612,4.9747,118377.0,131804.0,17120546.0,105272.0,584038.0
Aminer,ASAP,3,6,0.6,1060.4016,1039.0701,19.6649,4.8601,162870.0,131804.0,17120546.0,50371.0,150411.0
Aminer,ASAP,3,6,0.8,1057.7576,1038.309,17.7524,1.9645,149796.0,131804.0,17120546.0,15126.0,33160.0
Aminer,ASAP,3,6,1.0,1053.9731,1035.784,16.5298,0.5952,134738.0,131804.0,17120546.0,4524.0,11258.0
Aminer,ASAP,3,7,0.0,1042.218,1037.4762,3.0929,0.0,0.0,88562.0,17120546.0,88562.0,17120546.0
Aminer,ASAP,3,7,0.2,1101.3286,1088.157,11.4023,1.939,22291.0,88562.0,17120546.0,87123.0,1023820.0
Aminer,ASAP,3,7,0.4,1054.2264,1036.5861,15.9562,4.044,84528.0,88562.0,17120546.0,67895.0,399067.0
Aminer,ASAP,3,7,0.6,1126.561,1105.9078,18.759,3.955,107072.0,88562.0,17120546.0,30678.0,97649.0
Aminer,ASAP,3,7,0.8,1112.5221,1094.4334,16.3056,1.3601,98116.0,88562.0,17120546.0,8555.0,21360.0
Aminer,ASAP,3,7,1.0,1046.8149,1030.7229,14.4234,0.3183,89694.0,88562.0,17120546.0,2652.0,7660.0
Aminer,ASAP,4,3,0.0,1031.1718,1026.2525,3.1771,0.0,0.0,469732.0,17120546.0,469732.0,17120546.0
Aminer,ASAP,4,3,0.2,1039.7136,1026.6597,11.2457,2.1831,41866.0,469732.0,17120546.0,467846.0,3304473.0
Aminer,ASAP,4,3,0.4,1066.5378,1040.005,24.73,9.7302,300252.0,469732.0,17120546.0,432518.0,1686136.0
Aminer,ASAP,4,3,0.6,1064.816,1030.1896,32.8666,12.0345,528529.0,469732.0,17120546.0,314698.0,613984.0
Aminer,ASAP,4,3,0.8,1073.4581,1038.432,33.1894,8.1834,593598.0,469732.0,17120546.0,130175.0,137363.0
Aminer,ASAP,4,3,1.0,1059.4627,1031.3786,26.3039,2.6217,513729.0,469732.0,17120546.0,38818.0,35739.0
Aminer,ASAP,4,4,0.0,1034.9282,1030.0484,3.1659,0.0,0.0,209188.0,17120546.0,209188.0,17120546.0
Aminer,ASAP,4,4,0.2,1040.4108,1027.6314,11.0865,1.9889,32864.0,209188.0,17120546.0,207498.0,1788007.0
Aminer,ASAP,4,4,0.4,1064.5476,1042.8607,19.9207,6.6209,163149.0,209188.0,17120546.0,183386.0,783290.0
Aminer,ASAP,4,4,0.6,1053.7956,1028.6257,23.4665,7.0066,252632.0,209188.0,17120546.0,116438.0,241620.0
Aminer,ASAP,4,4,0.8,1060.5598,1037.8068,21.065,3.6335,253538.0,209188.0,17120546.0,38204.0,47877.0
Aminer,ASAP,4,4,1.0,1062.9441,1042.7471,18.5193,0.9579,219820.0,209188.0,17120546.0,9487.0,11928.0
Aminer,ASAP,4,5,0.0,1062.1546,1057.0672,3.2995,0.0,0.0,114192.0,17120546.0,114192.0,17120546.0
Aminer,ASAP,4,5,0.2,1043.2479,1030.8181,10.8014,1.7318,24333.0,114192.0,17120546.0,113015.0,1075914.0
Aminer,ASAP,4,5,0.4,1068.0626,1049.7118,16.6271,4.6071,97834.0,114192.0,17120546.0,96090.0,428742.0
Aminer,ASAP,4,5,0.6,1085.709,1065.5164,18.4542,4.5427,139174.0,114192.0,17120546.0,55635.0,121844.0
Aminer,ASAP,4,5,0.8,1080.7154,1061.6714,17.2683,2.103,134178.0,114192.0,17120546.0,14909.0,22222.0
Aminer,ASAP,4,5,1.0,1072.8678,1055.2803,15.8601,0.4734,117362.0,114192.0,17120546.0,3586.0,5794.0
Aminer,ASAP,4,6,0.0,1069.6167,1064.4952,3.3451,0.0,0.0,70867.0,17120546.0,70867.0,17120546.0
Aminer,ASAP,4,6,0.2,1048.6518,1036.3235,10.7269,1.535,18887.0,70867.0,17120546.0,69777.0,702112.0
Aminer,ASAP,4,6,0.4,1052.6556,1036.901,14.101,3.2837,64954.0,70867.0,17120546.0,57299.0,263980.0
Aminer,ASAP,4,6,0.6,1043.9497,1027.1382,15.2193,3.1168,86392.0,70867.0,17120546.0,30453.0,70691.0
Aminer,ASAP,4,6,0.8,1055.819,1040.2953,13.866,1.2237,80946.0,70867.0,17120546.0,7294.0,12596.0
Aminer,ASAP,4,6,1.0,1058.1805,1043.1506,13.3738,0.2533,71980.0,70867.0,17120546.0,1810.0,3443.0
Aminer,ASAP,4,7,0.0,1032.5304,1027.9269,2.9962,0.0,0.0,47818.0,17120546.0,47818.0,17120546.0
Aminer,ASAP,4,7,0.2,1039.8941,1028.0145,10.2557,1.3857,15129.0,47818.0,17120546.0,47070.0,496408.0
Aminer,ASAP,4,7,0.4,1051.481,1036.6801,13.1561,2.7303,46047.0,47818.0,17120546.0,37322.0,176388.0
Aminer,ASAP,4,7,0.6,1097.1648,1081.9506,13.5431,2.2578,57649.0,47818.0,17120546.0,19015.0,45603.0
Aminer,ASAP,4,7,0.8,1093.4669,1079.1029,12.6835,0.7986,53282.0,47818.0,17120546.0,4210.0,8157.0
Aminer,ASAP,4,7,1.0,1046.636,1032.8669,12.1395,0.1523,48220.0,47818.0,17120546.0,1045.0,2372.0
Aminer,ASAP,5,3,0.0,1037.1994,1032.2872,3.1804,0.0,0.0,281368.0,17120546.0,281368.0,17120546.0
Aminer,ASAP,5,3,0.2,1060.6251,1047.8137,11.0942,1.976,36381.0,281368.0,17120546.0,279751.0,2068753.0
Aminer,ASAP,5,3,0.4,1058.3638,1036.0137,20.6211,7.0926,199522.0,281368.0,17120546.0,255431.0,923279.0
Aminer,ASAP,5,3,0.6,1060.625,1033.8481,25.0071,8.0062,320855.0,281368.0,17120546.0,187775.0,305250.0
Aminer,ASAP,5,3,0.8,1059.2575,1033.1154,24.4422,5.2047,352533.0,281368.0,17120546.0,74442.0,64398.0
Aminer,ASAP,5,3,1.0,1059.6312,1037.7783,20.1078,1.4048,302009.0,281368.0,17120546.0,18563.0,13476.0
Aminer,ASAP,5,4,0.0,1040.2303,1035.5033,3.0417,0.0,0.0,122370.0,17120546.0,122370.0,17120546.0
